Estado;GINI;Domicílios;Região
Acre;0,6394;0,5;Norte
Alagoas;0,6343;0,57;Nordeste
Amapá;0,6157;0,62;Norte
Amazonas;0,6664;0,56;Norte
Bahia;0,6278;0,55;Nordeste
Ceará;0,6193;0,55;Nordeste
Distrito Federal;0,637;0,28;Centro Oeste
Espírito Santo;0,5723;0,38;Sudeste
Goiás;0,5588;0,4;Centro Oeste
Maranhão;0,6291;0,62;Nordeste
Mato Grosso;0,5652;0,39;Centro Oeste
Mato Grosso do Sul;0,565;0,35;Centro Oeste
Minas Gerais;0,5634;0,36;Sudeste
Pará;0,626;0,59;Norte
Paraíba;0,6139;0,53;Nordeste
Paraná;0,5416;0,31;Sul
Pernambuco;0,6366;0,52;Nordeste
Piauí;0,6193;0,56;Nordeste
Rio de Janeiro;0,6116;0,31;Sudeste
Rio Grande do Sul;0,5472;0,24;Sul
Rondônia;0,5686;0,44;Norte
Roraima;0,6398;0,47;Norte
Santa Catarina;0,4942;0,21;Sul
São Paulo;0,5768;0,29;Sudeste
Sergipe;0,6288;0,52;Nordeste
Tocantins;0,6099;0,5;Norte
